Landing_Page_Size_In_KB,Same Landing Domain,Has Bank Related Keywords,Has Crypto Related Keywords,Has Card Related Keywords,Unique_Internal_Page_Link_Cnt,Unique_External_Page_Link_Cnt,Avg_External_Links_Len,Stdv_External_Links_Len,Ratio_Shortened_URL_And_External_Links,Ratio_Social_Media_Links_And_External_Links,Has_Google_Form_External_Link,Has_Paypal_External_Link,Is Cheapest TLD,Is Combined TLD,Spamhaus TLD Rank,Domain Letter Count,Domain Digit Rate,Domain Hyphen Count,xn-- Present,Money Keyword Check,Help Keyword Check,Campaign Keyword Check,War Keyword Check,For and To Keyword Check,Number Instead of Word,Is WhoIs Registrar Available,Is SSL Certificate Retrievable,K-means Label,KMedoids Label,Hierarchical Label,DBSCAN Label,GMM Label,IPQS_Flag,Domain
78.8,1,0,0,0,15,3,45.67,9.67,0.0,1.0,0,0,0,0,0.05,27,0.0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,americancoalitionforukraine.org
52.39,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,20,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,americanswithukraine.com
79.71,1,0,0,0,7,1,73.0,0.0,0.0,1.0,0,0,0,0,0.05,15,0.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,americanukraine.org
7.32,1,0,0,0,3,8,46.88,16.77,0.12,0.75,0,0,0,0,0.13,17,0.0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,americanukrainian.net
7.32,1,0,0,0,3,8,46.88,16.77,0.12,0.75,0,0,0,0,0.05,17,0.0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,americanukrainian.org
48.1,1,0,0,0,2,1,21.0,0.0,0.0,0.0,0,0,0,0,0.16,27,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,americanukrainianfoundation.com
47.78,1,0,0,0,2,1,21.0,0.0,0.0,0.0,0,0,0,0,0.05,27,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,americanukrainianfoundation.org
107.11,1,0,0,0,14,1,214.0,0.0,0.0,0.0,0,0,0,0,0.16,11,0.0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,amkaukraine.com
332.48,0,0,0,0,2,8,34.0,12.38,0.0,0.62,0,0,0,0,0.16,10,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,amlukraine.com
3.56,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0.06,14,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,amplifyukraine.eu
35.61,1,0,0,0,1,2,30.5,9.5,0.0,0.0,0,0,0,0,0.05,12,0.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,amsinukraine.org
29.85,1,0,0,0,20,12,49.92,24.56,0.08,0.17,0,1,0,0,0.16,16,0.059,0,0,0,0,0,0,0,1,0,0,2,2,3,0,2,0,amsterdam4ukraine.com
28.91,1,1,0,0,11,0,0.0,0.0,0.0,0.0,0,0,0,0,0.01,24,0.0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,amsterdamcooksforukraine.nl
134.66,1,0,0,0,4,1,48.0,0.0,0.0,1.0,0,0,1,0,0.08,24,0.0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,ancientukrainianornament.art
154.19,1,0,0,0,1,2,24.0,5.0,0.0,0.0,0,0,0,0,0.16,31,0.0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,andresvalencia-invasionofukraine.com
56.69,1,0,0,0,1,5,41.2,11.37,0.0,0.8,0,0,1,0,0.06,13,0.071,0,0,0,0,0,0,0,1,1,0,0,2,3,0,2,0,angels4ukraine.eu
